title,price,property_type,location,publication_date,link,city
Etage de villa s3 à lac,5800.0,Appartement,Berge Du Lac,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3377078,Berge Du Lac
S1 situé à ennaser 2,1100.0,Appartement,Cite Ennasr 2,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384434,Cite Ennasr 2
Terrain  magique  avec façade,1000000.0,Terrain,Hammam El Gheza,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385742,Hammam El Gheza
S1 à menzah 8,700.0,Appartement,El Menzah 8,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385242,El Menzah 8
Al étage de villa chauff,800.0,Villa,La Mannouba,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384997,La Mannouba
S2 à menzah 7bis,2000.0,Appartement,El Menzah 7,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384216,El Menzah 7
1000  mètre carré a ezzahra p,90000.0,Autre,Ezzahra,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385741,Ezzahra
Une villa au standing à,900000.0,Villa,Cite El Ghazala,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3348800,Cite El Ghazala
Etage villa à el brarja raoue,380.0,Villa,El Brarja,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3338640,El Brarja
2000 mètre carré collectif a,1000000.0,Autre,Tamazrat,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385739,Tamazrat
Occasion  de  terrain magique,1586000.0,Terrain,Hammam Jebli,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385737,Hammam Jebli
S1 à megrine erriadh,700.0,Appartement,Megrine Riadh,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383310,Megrine Riadh
S1 meuble megrine erriad,700.0,Appartement,Megrine Riadh,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383317,Megrine Riadh
Un meilleur  investissement a,63000.0,Autre,Ezzahra,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385736,Ezzahra
Occasion  de 770 mètre carré,1155000.0,Autre,Ezzahra,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385735,Ezzahra
Appartement retape a neuf,1000.0,Appartement,Bab Bhar,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385732,Bab Bhar
Terrain de 830  mètre carré a,1411000.0,Terrain,Hammam El Gheza,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3385728,Hammam El Gheza
Appartement moderne à la,420000.0,Appartement,La Soukra,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383762,La Soukra
Appartement direct promo,422000.0,Appartement,La Soukra,24/02/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375419,La Soukra
